2026-05-15T10:31:19 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385610: 0 image(s) uploaded to blob.
2026-05-15T10:31:19 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385850/testPdf.pdf
2026-05-15T10:31:19 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385850: 1 image(s) uploaded to blob.
2026-05-15T10:31:19 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385438.
2026-05-15T10:31:19 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385438: 0 image(s) uploaded to blob.
2026-05-15T10:31:19 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385435.
2026-05-15T10:31:19 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385435: 0 image(s) uploaded to blob.
2026-05-15T10:31:20 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385433.
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385433: 0 image(s) uploaded to blob.
2026-05-15T10:31:20 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385432.
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385432: 0 image(s) uploaded to blob.
2026-05-15T10:31:20 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385356/testPdf.pdf
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385356: 1 image(s) uploaded to blob.
2026-05-15T10:31:20 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385354/testPdf.pdf
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385354: 1 image(s) uploaded to blob.
2026-05-15T10:31:20 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385353/testPdf.pdf
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385353: 1 image(s) uploaded to blob.
2026-05-15T10:31:20 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385325.
2026-05-15T10:31:20 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385325: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385575/testPdf.pdf
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385575: 1 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385291.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385291: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385153.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385153: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385150.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385150: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385152.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385152: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385149.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385149: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385148.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385148: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385146.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385146: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000385145.
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385145: 0 image(s) uploaded to blob.
2026-05-15T10:31:21 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385084/testPdf.pdf
2026-05-15T10:31:21 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385084: 1 image(s) uploaded to blob.
2026-05-15T10:31:22 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385083/testPdf.pdf
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385083: 1 image(s) uploaded to blob.
2026-05-15T10:31:22 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385082/testPdf.pdf
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385082: 1 image(s) uploaded to blob.
2026-05-15T10:31:22 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385294/testPdf.pdf
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385294: 1 image(s) uploaded to blob.
2026-05-15T10:31:22 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384886.
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384886: 0 image(s) uploaded to blob.
2026-05-15T10:31:22 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384888.
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384888: 0 image(s) uploaded to blob.
2026-05-15T10:31:22 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384884.
2026-05-15T10:31:22 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384884: 0 image(s) uploaded to blob.
2026-05-15T10:31:23 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384826/testPdf.pdf
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384826: 1 image(s) uploaded to blob.
2026-05-15T10:31:23 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384824/testPdf.pdf
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384824: 1 image(s) uploaded to blob.
2026-05-15T10:31:23 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000384822/testPdf.pdf
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384822: 1 image(s) uploaded to blob.
2026-05-15T10:31:23 | INFO     | vo-backend | storage | Uploaded blob: https://storagecentralusvodev.blob.core.windows.net/api-images/EST3000385029/testPdf.pdf
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000385029: 1 image(s) uploaded to blob.
2026-05-15T10:31:23 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384673.
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384673: 0 image(s) uploaded to blob.
2026-05-15T10:31:23 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384667.
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384667: 0 image(s) uploaded to blob.
2026-05-15T10:31:23 | WARNING  | vo-backend | api_ingest.image_loader | No attachments found for est_id=3000384658.
2026-05-15T10:31:23 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | est_id 3000384658: 0 image(s) uploaded to blob.
