2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385148: 3 lines, 8 subtotals, CDR bdy_rate=55.55
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385149: 3 lines, 9 subtotals, CDR bdy_rate=55.55
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385152: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385146: 2 lines, 3 subtotals, CDR bdy_rate=55.55
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385145: 1 lines, 3 subtotals, CDR bdy_rate=55.55
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385083: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385084: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385082: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384888: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384886: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384884: 1 lines, 3 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384826: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384824: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384822: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385029: 0 lines, 0 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384673: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384658: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384667: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384642: 1 lines, 1 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384643: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384641: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384640: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:29 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384639: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384638: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384635: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384634: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384632: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:30 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000384627: 2 lines, 12 subtotals, CDR bdy_rate=203.0
